return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,customer_id,order_date,product_name,category
RET-000001,2,609,2012-07-25,late_delivery,6,52458.01,58621,2012-07-04,SaigonFlex UC-74,Streetwear
RET-000002,32,1862,2012-07-16,wrong_size,2,5141.37,6037,2012-07-05,SaigonCore YY-57,GenZ
RET-000003,35,2359,2012-07-16,wrong_size,1,5315.95,3666,2012-07-04,VietMotion UC-07,Streetwear
RET-000004,47,1449,2012-07-11,wrong_size,4,6493.75,72063,2012-07-06,VietMode RP-41,Outdoor
RET-000005,47,1450,2012-07-25,wrong_size,1,1740.76,72063,2012-07-06,VietMode RP-42,Outdoor
RET-000006,59,671,2012-07-19,defective,1,10086.33,63551,2012-07-06,SaigonFlex UC-36,Streetwear
RET-000007,67,604,2012-07-16,wrong_size,1,5713.22,17352,2012-07-04,SaigonFlex UC-69,Streetwear
RET-000008,102,467,2012-07-17,defective,1,9724.09,31661,2012-07-04,SaigonFlex UM-72,Streetwear
RET-000010,108,635,2012-07-30,wrong_size,5,43387.54,112415,2012-07-05,SaigonFlex UC-00,Streetwear
RET-000012,132,103,2012-07-29,changed_mind,2,19200.35,118599,2012-07-04,DragonWear UM-30,Streetwear
RET-000013,135,1668,2012-07-12,not_as_described,1,4834.0,47414,2012-07-04,VietMode UR-01,Streetwear
RET-000014,144,396,2012-07-18,changed_mind,2,21480.07,95103,2012-07-04,SaigonFlex UM-01,Streetwear
RET-000015,146,2064,2012-07-29,changed_mind,8,45752.21,78826,2012-07-04,UrbanVN UE-24,Streetwear
RET-000016,147,1156,2012-07-15,changed_mind,1,3585.13,79363,2012-07-04,MekongFit UR-13,Streetwear
RET-000018,192,1086,2012-07-14,wrong_size,1,977.65,134336,2012-07-04,MekongFit RP-32,Outdoor
RET-000019,211,1228,2012-07-28,wrong_size,2,2963.07,148159,2012-07-06,MekongFit UC-30,Streetwear
RET-000020,305,2250,2012-07-27,defective,1,1461.39,33610,2012-07-05,VietMotion RP-47,Outdoor
RET-000021,305,2251,2012-07-20,wrong_size,1,1511.59,33610,2012-07-05,VietMotion RP-48,Outdoor
RET-000022,336,396,2012-07-14,late_delivery,5,51989.35,110160,2012-07-07,SaigonFlex UM-01,Streetwear
RET-000024,373,647,2012-07-31,defective,1,10993.16,143096,2012-07-07,SaigonFlex UC-12,Streetwear
RET-000025,405,1085,2012-07-27,changed_mind,1,1030.19,153819,2012-07-04,MekongFit RP-31,Outdoor
RET-000026,405,1086,2012-07-24,changed_mind,1,996.14,153819,2012-07-04,MekongFit RP-32,Outdoor
RET-000027,409,635,2012-07-28,defective,1,9498.84,44737,2012-07-08,SaigonFlex UC-00,Streetwear
RET-000028,412,676,2012-08-04,wrong_size,2,18304.91,54226,2012-07-08,SaigonFlex UC-41,Streetwear
RET-000029,423,495,2012-07-24,defective,5,42109.26,83175,2012-07-06,SaigonFlex UM-00,Streetwear
RET-000030,430,475,2012-07-21,changed_mind,4,50712.69,125448,2012-07-06,SaigonFlex UM-80,Streetwear
RET-000032,530,1926,2012-07-17,not_as_described,3,3128.82,30121,2012-07-05,UrbanVN RP-01,Outdoor
RET-000033,530,1927,2012-07-31,defective,1,989.52,30121,2012-07-05,UrbanVN RP-02,Outdoor
RET-000034,533,1003,2012-07-19,changed_mind,3,2984.49,30155,2012-07-06,HanoiStreet YY-04,GenZ
RET-000035,535,757,2012-07-18,changed_mind,2,1722.68,30579,2012-07-05,HanoiStreet RP-45,Outdoor
RET-000036,573,604,2012-07-27,defective,2,12072.58,155682,2012-07-07,SaigonFlex UC-69,Streetwear
RET-000037,574,1001,2012-08-04,defective,5,23287.95,155883,2012-07-09,HanoiStreet YY-02,GenZ
RET-000038,584,396,2012-07-25,wrong_size,5,47746.91,141144,2012-07-08,SaigonFlex UM-01,Streetwear
RET-000039,587,94,2012-07-22,not_as_described,8,78524.23,138467,2012-07-06,DragonWear UM-21,Streetwear
RET-000040,610,604,2012-07-27,defective,1,5473.26,41336,2012-07-07,SaigonFlex UC-69,Streetwear
RET-000043,637,739,2012-07-25,changed_mind,1,1753.14,77341,2012-07-07,HanoiStreet RP-27,Outdoor
RET-000044,665,676,2012-07-22,changed_mind,5,42988.3,103406,2012-07-09,SaigonFlex UC-41,Streetwear
RET-000047,703,785,2012-07-26,wrong_size,2,1313.76,140019,2012-07-09,HanoiStreet RP-73,Outdoor
RET-000048,703,786,2012-08-05,wrong_size,6,3896.87,140019,2012-07-09,HanoiStreet RP-74,Outdoor
RET-000049,705,413,2012-07-22,defective,4,52503.65,139354,2012-07-07,SaigonFlex UM-18,Streetwear
RET-000050,720,396,2012-07-15,not_as_described,1,9949.49,58387,2012-07-09,SaigonFlex UM-01,Streetwear
RET-000052,751,725,2012-07-19,not_as_described,2,2735.52,1470,2012-07-11,HanoiStreet RP-13,Outdoor
RET-000053,751,726,2012-07-22,not_as_described,4,5243.86,1470,2012-07-11,HanoiStreet RP-14,Outdoor
RET-000054,783,1014,2012-07-26,not_as_described,2,1783.07,49487,2012-07-08,HanoiStreet YY-15,GenZ
RET-000055,790,1201,2012-07-29,wrong_size,8,50934.33,50635,2012-07-08,MekongFit UC-03,Streetwear
RET-000056,815,2240,2012-07-24,wrong_size,1,1035.69,21865,2012-07-10,VietMotion RP-37,Outdoor
RET-000057,815,2241,2012-08-04,wrong_size,2,2126.95,21865,2012-07-10,VietMotion RP-38,Outdoor
RET-000059,839,1490,2012-07-19,wrong_size,1,3063.89,46057,2012-07-08,VietMode RP-82,Outdoor
RET-000060,841,1451,2012-07-19,wrong_size,4,16827.48,46086,2012-07-09,VietMode RP-43,Outdoor
RET-000061,841,1452,2012-07-26,wrong_size,3,13759.34,46086,2012-07-09,VietMode RP-44,Outdoor
RET-000062,879,992,2012-07-29,wrong_size,1,3013.98,33310,2012-07-08,HanoiStreet UC-55,Streetwear
RET-000066,953,2064,2012-07-31,changed_mind,1,6477.59,125056,2012-07-09,UrbanVN UE-24,Streetwear
